t_entrada,R
2026-06-19 12:20:00+00:00,0.9
2026-06-22 12:23:00+00:00,-1.0
2026-06-22 12:35:00+00:00,0.9
2026-06-23 12:35:00+00:00,-1.0
2026-06-23 12:51:00+00:00,-1.0
2026-06-24 12:16:00+00:00,0.9
2026-06-25 12:18:00+00:00,-1.0
2026-06-25 12:21:00+00:00,-1.0
2026-06-26 12:40:00+00:00,0.9
2026-06-29 12:09:00+00:00,0.9
2026-06-30 12:45:00+00:00,0.9
2026-07-01 12:15:00+00:00,0.9
2026-07-02 12:15:00+00:00,-1.0
2026-07-03 12:15:00+00:00,0.9
2026-07-06 12:24:00+00:00,0.9
2026-07-07 12:09:00+00:00,0.9
2026-07-08 12:14:00+00:00,0.9
2026-07-09 12:32:00+00:00,0.9
2026-07-10 12:12:00+00:00,0.9
2026-07-13 12:17:00+00:00,-1.0
2026-07-13 12:22:00+00:00,0.9
2026-07-14 12:24:00+00:00,0.9
2026-07-15 12:30:00+00:00,0.9
2026-07-16 12:15:00+00:00,0.9
2026-07-17 12:23:00+00:00,0.9
2026-07-20 12:13:00+00:00,0.9
2026-07-21 12:24:00+00:00,-1.0
2026-07-21 12:35:00+00:00,0.9
2026-07-22 12:14:00+00:00,-1.0
2026-07-22 12:18:00+00:00,0.9
2026-07-23 12:20:00+00:00,0.9
2026-07-24 12:23:00+00:00,0.9
2026-07-27 12:18:00+00:00,0.9
2026-07-28 12:19:00+00:00,0.9
2026-07-29 12:12:00+00:00,0.9
2026-07-30 12:15:00+00:00,-1.0
2026-07-30 12:33:00+00:00,-1.0
2026-07-31 12:15:00+00:00,0.9
2026-08-03 12:22:00+00:00,0.9
2026-08-04 12:09:00+00:00,-1.0
2026-08-04 12:25:00+00:00,0.9
2026-08-05 12:12:00+00:00,0.9
2026-08-06 12:30:00+00:00,0.9
2026-08-07 12:19:00+00:00,0.9
2026-08-10 12:25:00+00:00,0.9
2026-08-11 12:12:00+00:00,-1.0
2026-08-11 14:02:00+00:00,-1.0
2026-08-12 12:24:00+00:00,0.9
2026-08-13 12:21:00+00:00,0.9
