t_entrada,R
2026-06-04 13:20:00+00:00,-1.0
2026-06-04 13:46:00+00:00,-1.0
2026-06-05 13:33:00+00:00,0.9
2026-06-08 13:20:00+00:00,0.9
2026-06-09 13:17:00+00:00,0.9
2026-06-10 13:14:00+00:00,0.9
2026-06-11 13:12:00+00:00,0.9
2026-06-12 13:14:00+00:00,0.9
2026-06-15 13:22:00+00:00,0.9
2026-06-16 13:16:00+00:00,0.9
2026-06-17 13:22:00+00:00,0.9
2026-06-18 13:27:00+00:00,0.9
2026-06-19 13:19:00+00:00,0.9
2026-06-22 13:14:00+00:00,-1.0
2026-06-22 13:25:00+00:00,-1.0
2026-06-23 13:15:00+00:00,-1.0
2026-06-23 13:26:00+00:00,0.9
2026-06-24 13:21:00+00:00,-1.0
2026-06-24 13:30:00+00:00,0.9
2026-06-25 13:17:00+00:00,0.9
2026-06-26 13:33:00+00:00,-1.0
2026-06-26 13:46:00+00:00,0.9
2026-06-29 13:17:00+00:00,-1.0
2026-06-29 13:21:00+00:00,0.9
2026-06-30 13:18:00+00:00,0.9
2026-07-01 13:15:00+00:00,0.9
2026-07-02 13:20:00+00:00,-1.0
2026-07-03 13:20:00+00:00,-1.0
2026-07-03 13:33:00+00:00,0.9
2026-07-06 13:22:00+00:00,-1.0
2026-07-06 13:58:00+00:00,-1.0
2026-07-07 13:36:00+00:00,-1.0
2026-07-07 13:53:00+00:00,0.9
2026-07-08 13:14:00+00:00,0.9
2026-07-09 13:30:00+00:00,-1.0
2026-07-09 13:36:00+00:00,-1.0
2026-07-10 13:18:00+00:00,0.9
2026-07-13 13:15:00+00:00,-1.0
2026-07-13 13:28:00+00:00,-1.0
2026-07-14 13:21:00+00:00,0.9
2026-07-15 13:25:00+00:00,-1.0
2026-07-15 14:02:00+00:00,-1.0
2026-07-16 13:45:00+00:00,0.9
2026-07-20 13:20:00+00:00,-1.0
2026-07-20 13:32:00+00:00,-1.0
2026-07-21 13:18:00+00:00,0.9
2026-07-22 13:24:00+00:00,0.9
2026-07-23 13:33:00+00:00,-1.0
2026-07-23 14:07:00+00:00,-1.0
2026-07-24 13:35:00+00:00,0.9
2026-07-28 13:15:00+00:00,-1.0
2026-07-28 13:20:00+00:00,0.9
2026-07-29 13:21:00+00:00,0.9
2026-07-30 13:12:00+00:00,0.9
2026-07-31 13:21:00+00:00,0.9
2026-08-03 13:17:00+00:00,0.9
2026-08-04 14:11:00+00:00,-1.0
2026-08-04 14:16:00+00:00,0.9
2026-08-05 13:25:00+00:00,0.9
2026-08-06 13:21:00+00:00,0.9
2026-08-07 13:16:00+00:00,-1.0
2026-08-07 13:27:00+00:00,0.9
2026-08-10 13:34:00+00:00,-1.0
2026-08-10 13:44:00+00:00,0.9
2026-08-11 14:13:00+00:00,0.9
2026-08-12 13:22:00+00:00,0.9
2026-08-13 13:24:00+00:00,0.9
