Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio
06/03/2026,viernes,MER,Envolvente,07:33,08:01,Sell,Take Profit,1.0,1.0,,2026-03-06,1.0,False,MER
09/03/2026,lunes,MER,Envolvente,08:42,08:51,Sell,Take Profit,1.0,1.0,,2026-03-09,1.0,False,MER
10/03/2026,martes,MEC,Envolvente,07:00,07:05,Buy,Take Profit,1.0,1.0,,2026-03-10,1.0,False,MEC
11/03/2026,miercoles,MER,Envolvente,07:12,07:58,Sell,Take Profit,1.0,1.0,,2026-03-11,1.0,False,MER
12/03/2026,jueves,MEC,Envolvente,08:04,08:07,Sell,Take Profit,1.0,1.0,,2026-03-12,1.0,False,MEC
17/03/2026,martes,MEC,Envolvente,07:56,08:01,Sell,Take Profit,1.0,1.0,,2026-03-17,1.0,False,MEC
17/03/2026,martes,MEC,Envolvente,07:34,07:45,Sell,Stop Loss,-1.0,,-1.0,2026-03-17,-1.0,False,MEC
18/03/2026,miercoles,MEC,Envolvente,08:26,08:37,Sell,Take Profit,1.0,1.0,,2026-03-18,1.0,False,MEC
19/03/2026,jueves,MER,Envolvente,07:35,07:42,Sell,Take Profit,1.0,1.0,,2026-03-19,1.0,False,MER
20/03/2026,viernes,MER,Envolvente,07:52,08:00,Sell,Stop Loss,,,1.0,2026-03-20,-1.0,False,MER
23/03/2026,lunes,MEC,Star,07:10,07:11,Buy,Take Profit,1.0,1.0,,2026-03-23,1.0,False,MEC
24/03/2026,martes,MER,Envolvente,08:22,08:33,Sell,Take Profit,1.0,1.0,,2026-03-24,1.0,False,MER
25/03/2026,miercoles,MEC,Envolvente,07:04,07:22,Buy,Take Profit,1.0,1.0,,2026-03-25,1.0,False,MEC
26/03/2026,jueves,MEC,Envolvente,07:46,07:50,Sell,Take Profit,1.0,1.0,,2026-03-26,1.0,False,MEC
27/03/2026,viernes,MEC,Envolvente,08:15,08:50,Buy,Take Profit,1.0,1.0,,2026-03-27,1.0,False,MEC
30/03/2026,lunes,MER,Star,07:42,07:18,Buy,Take Profit,1.0,1.0,,2026-03-30,1.0,False,MER
31/03/2026,martes,MER,Envolvente,08:01,09:03,Sell,Take Profit,1.0,1.0,,2026-03-31,1.0,False,MER
31/03/2026,martes,MER,Envolvente,08:06,08:10,Buy,Stop Loss,-1.0,,1.0,2026-03-31,-1.0,False,MER
01/04/2026,miercoles,MEC,Envolvente,07:17,07:38,Buy,Take Profit,1.0,1.0,,2026-04-01,1.0,False,MEC
02/04/2026,jueves,MER,Envolvente,08:56,09:00,Sell,Take Profit,1.0,1.0,,2026-04-02,1.0,False,MER
07/04/2026,martes,MEC,Envolvente,07:41,08:24,Buy,Take Profit,1.0,1.0,,2026-04-07,1.0,False,MEC
08/04/2026,miercoles,MER,Envolvente,07:07,07:26,Buy,Take Profit,1.0,1.0,,2026-04-08,1.0,False,MER
09/04/2026,jueves,MEC,Envolvente,08:09,09:00,Sell,Break Even,,,,2026-04-09,0.0,False,MEC
13/04/2026,lunes,MEC,Star,07:40,08:50,Sell,Stop Loss,-1.0,,1.0,2026-04-13,-1.0,False,MEC
14/04/2026,martes,MEC,Envolvente,07:08,07:28,Buy,Take Profit,1.0,1.0,,2026-04-14,1.0,False,MEC
16/04/2026,jueves,MEC,Star,07:56,08:07,Buy,Stop Loss,-1.0,,1.0,2026-04-16,-1.0,False,MEC
17/04/2026,viernes,MEC,Envolvente,07:47,08:30,Buy,Take Profit,1.0,1.0,,2026-04-17,1.0,False,MEC
20/04/2026,lunes,MEC,Envolvente,07:44,07:48,Buy,Take Profit,1.0,1.0,,2026-04-20,1.0,False,MEC
22/04/2026,miercoles,MER,Star,08:25,08:36,Buy,Stop Loss,-1.0,,1.0,2026-04-22,-1.0,False,MER
22/04/2026,miercoles,MEC,Star,08:48,09:18,Sell,Take Profit,1.0,1.0,,2026-04-22,1.0,False,MEC
23/04/2026,jueves,MEC,Envolvente,07:03,07:46,Buy,Take Profit,1.0,1.0,,2026-04-23,1.0,False,MEC
24/04/2026,viernes,MEC,Envolvente,07:26,08:43,Buy,Stop Loss,-1.0,,1.0,2026-04-24,-1.0,False,MEC
28/04/2026,martes,MER,Envolvente,07:23,07:31,Buy,Stop Loss,-1.0,,1.0,2026-04-28,-1.0,False,MER
28/04/2026,martes,MER,Envolvente,07:31,07:36,Sell,Take Profit,1.0,1.0,,2026-04-28,1.0,False,MER
06/05/2026,miercoles,MER,Envolvente,08:59,09:01,Buy,Take Profit,1.0,1.0,,2026-05-06,1.0,False,MER
11/05/2026,lunes,MER,Envolvente,08:18,08:21,Buy,Take Profit,1.0,1.0,,2026-05-11,1.0,False,MER
13/05/2026,miercoles,MEC,Star,07:14,07:45,Buy,Take Profit,1.0,1.0,,2026-05-13,1.0,False,MEC
15/05/2026,viernes,MEC,Envolvente,07:25,07:44,Sell,Take Profit,1.0,1.0,,2026-05-15,1.0,False,MEC
18/05/2026,lunes,MEC,Envolvente,08:41,08:42,Sell,Take Profit,1.0,1.0,,2026-05-18,1.0,False,MEC
18/05/2026,lunes,MEC,Envolvente,07:41,08:20,Buy,Stop Loss,-1.0,,1.0,2026-05-18,-1.0,False,MEC
21/05/2026,jueves,MEC,Envolvente,08:20,09:15,Sell,Take Profit,1.0,1.0,,2026-05-21,1.0,False,MEC
21/05/2026,jueves,MER,Envolvente,07:51,08:20,Buy,Stop Loss,-0.9,,1.0,2026-05-21,-0.9,False,MER
22/05/2026,viernes,MEC,Envolvente,08:59,09:39,Buy,Stop Loss,-1.0,,1.0,2026-05-22,-1.0,False,MEC
22/05/2026,viernes,MEC,Envolvente,08:31,08:59,Sell,Stop Loss,-0.5,,1.0,2026-05-22,-0.5,False,MEC
26/05/2026,martes,MEC,Envolvente,07:42,08:46,Sell,Stop Loss,-0.8,,1.0,2026-05-26,-0.8,False,MEC
26/05/2026,martes,MEC,Envolvente,08:46,09:02,Buy,Take Profit,1.0,1.0,,2026-05-26,1.0,False,MEC
27/05/2026,miercoles,MER,Envolvente,07:42,07:54,Buy,Stop Loss,-0.9,,1.0,2026-05-27,-0.9,False,MER
27/05/2026,miercoles,MEC,Star,07:54,08:18,Sell,Stop Loss,-1.0,,1.0,2026-05-27,-1.0,False,MEC
28/05/2026,jueves,MER,Envolvente,07:37,08:21,Buy,Stop Loss,-1.0,,1.0,2026-05-28,-1.0,False,MER
29/05/2026,viernes,MEC,Envolvente,07:11,07:23,Sell,Stop Loss,-0.32,,1.0,2026-05-29,-0.32,False,MEC
29/05/2026,viernes,MER,Envolvente,07:23,07:26,Buy,Stop Loss,-1.0,,1.0,2026-05-29,-1.0,False,MER
01/06/2026,lunes,MER,Envolvente,08;06,08:14,Buy,Stop Loss,-1.0,,1.0,2026-06-01,-1.0,False,MER
02/06/2026,martes,MEC,Envolvente,08:49,09:00,Sell,Take Profit,1.0,1.0,,2026-06-02,1.0,False,MEC
03/06/2026,miercoles,MEC,Envolvente,07:02,07:08,Buy,Take Profit,1.0,1.0,,2026-06-03,1.0,False,MEC
04/06/2026,jueves,MEC,Envolvente,07:25,07:27,Buy,Take Profit,1.0,1.0,,2026-06-04,1.0,False,MEC
08/06/2026,lunes,MEC,Envolvente,07:14,07:20,Buy,Take Profit,1.0,1.0,,2026-06-08,1.0,False,MEC
09/06/2026,martes,MEC,Envolvente,08:38,08:53,Buy,Stop Loss,-0.5,,1.0,2026-06-09,-0.5,False,MEC
09/06/2026,martes,MER,Envolvente,08:53,09:00,Sell,Stop Loss,-1.0,,1.0,2026-06-09,-1.0,False,MER
12/06/2026,viernes,MER,Envolvente,08:00,08:26,Sell,Take Profit,1.0,1.0,,2026-06-12,1.0,False,MER
15/06/2026,lunes,MEC,Envolvente,08:50,09:02,Buy,Stop Loss,-1.0,,1.0,2026-06-15,-1.0,False,MEC
16/06/2026,martes,MEC,Envolvente,07:07,07:36,Sell,Take Profit,1.0,1.0,,2026-06-16,1.0,False,MEC
17/06/2026,miercoles,MEC,Envolvente,07:34,07:56,Sell,Take Profit,1.0,1.0,,2026-06-17,1.0,False,MEC
18/06/2026,jueves,MEC,Envolvente,08:33,09:00,Sell,Break Even,,,,2026-06-18,0.0,False,MEC
22/06/2026,lunes,MEC,Star,07:25,07:38,Sell,Take Profit,1.0,1.0,,2026-06-22,1.0,False,MEC
23/06/2026,martes,MER,Envolvente,07:34,08:11,Sell,Take Profit,1.0,1.0,,2026-06-23,1.0,False,MER
24/06/2026,miercoles,MEC,Envolvente,08:49,08:59,Sell,Take Profit,1.0,1.0,,2026-06-24,1.0,False,MEC
24/06/2026,miercoles,MER,Envolvente,07:31,08:06,Buy,Stop Loss,-1.0,,1.0,2026-06-24,-1.0,False,MER
25/06/2026,jueves,MER,Envolvente,07:39,08:30,Buy,Take Profit,1.0,1.0,,2026-06-25,1.0,False,MER
26/06/2026,viernes,MEC,Envolvente,07:43,08:15,Sell,Stop Loss,-1.0,,1.0,2026-06-26,-1.0,False,MEC
26/06/2026,viernes,MEC,Envolvente,08:15,08:19,Buy,Stop Loss,-1.0,,1.0,2026-06-26,-1.0,False,MEC
30/06/2026,martes,MER,Envolvente,07:25,07:41,Sell,Stop Loss,-1.0,,1.0,2026-06-30,-1.0,False,MER
30/06/2026,martes,MEC,Star,08:20,08:23,Sell,Take Profit,1.0,1.0,,2026-06-30,1.0,False,MEC
01/07/2026,miercoles,MEC,Envolvente,07:21,08:50,Buy,Break Even,,,,2026-07-01,0.0,False,MEC
06/07/2026,lunes,MER,Envolvente,07:29,08:21,Sell,Take Profit,1.0,1.0,,2026-07-06,1.0,False,MER
07/07/2026,martes,MER,Envolvente,07:18,07:45,Buy,Take Profit,1.0,1.0,,2026-07-07,1.0,False,MER
08/07/2026,miercoles,MER,Envolvente,07:43,08:17,Buy,Take Profit,1.0,1.0,,2026-07-08,1.0,False,MER
09/07/2026,jueves,MER,Envolvente,07:38,07:41,Buy,Take Profit,1.0,1.0,,2026-07-09,1.0,False,MER
10/07/2026,viernes,MER,Envolvente,07:42,08:13,Buy,Take Profit,1.0,1.0,,2026-07-10,1.0,False,MER
13/07/2026,lunes,MER,Envolvente,08:00,08:12,Sell,Stop Loss,-1.0,,1.0,2026-07-13,-1.0,False,MER
13/07/2026,lunes,MEC,Envolvente,08:43,08:59,Buy,Take Profit,1.0,1.0,,2026-07-13,1.0,False,MEC
15/07/2026,miercoles,MEC,Envolvente,08:32,08:58,Buy,Take Profit,1.0,1.0,,2026-07-15,1.0,False,MEC
16/07/2026,jueves,MEC,Envolvente,07:13,07:25,Sell,Take Profit,1.0,1.0,,2026-07-16,1.0,False,MEC
17/07/2026,viernes,MER,Envolvente,08:03,08:20,Sell,Take Profit,1.0,1.0,,2026-07-17,1.0,False,MER
21/07/2026,martes,MEC,Envolvente,08:23,08:35,Buy,Stop Loss,-1.0,,1.0,2026-07-21,-1.0,False,MEC
22/07/2026,miercoles,MEC,Envolvente,07:09,07:17,Buy,Take Profit,1.0,1.0,,2026-07-22,1.0,False,MEC
24/07/2026,viernes,MEC,Envolvente,07:03,07:39,Buy,Stop Loss,-1.0,,1.0,2026-07-24,-1.0,False,MEC
24/07/2026,viernes,MER,Envolvente,07:58,08:41,Sell,Stop Loss,-0.6,,1.0,2026-07-24,-0.6,False,MER
27/07/2026,lunes,MER,Envolvente,07:08,07:19,Buy,Stop Loss,-0.5,,1.0,2026-07-27,-0.5,False,MER
27/07/2026,lunes,MER,Envolvente,07:19,07:29,Sell,Take Profit,1.0,1.0,,2026-07-27,1.0,False,MER
28/07/2026,martes,MER,Envolvente,07:03,07:04,Sell,Stop Loss,-1.0,,1.0,2026-07-28,-1.0,False,MER
29/07/2026,miercoles,MER,Envolvente,07:14,07:32,Buy,Take Profit,0.5,1.0,,2026-07-29,0.5,False,MER
29/07/2026,miercoles,MER,Envolvente,07:32,07:47,Sell,Stop Loss,-1.0,,1.0,2026-07-29,-1.0,False,MER
29/07/2026,miercoles,MEC,Envolvente,08:16,08:21,Sell,Take Profit,1.0,1.0,,2026-07-29,1.0,False,MEC
03/08/2026,lunes,MEC,Envolvente,07:47,07:51,Buy,Take Profit,1.0,1.0,,2026-08-03,1.0,False,MEC
04/08/2026,martes,MEC,Envolvente,07:25,07:32,Buy,Take Profit,1.0,1.0,,2026-08-04,1.0,False,MEC
05/08/2026,miercoles,MEC,Envolvente,07:02,07:16,Buy,Take Profit,1.0,1.0,,2026-08-05,1.0,False,MEC
06/08/2026,jueves,MEC,Star,07:45,08:31,Sell,Stop Loss,-1.0,,1.0,2026-08-06,-1.0,False,MEC
06/08/2026,jueves,MEC,Envolvente,08:54,09:08,Sell,Take Profit,1.0,1.0,,2026-08-06,1.0,False,MEC
07/08/2026,viernes,MEC,Envolvente,07:03,08:06,Buy,Stop Loss,-1.0,,1.0,2026-08-07,-1.0,False,MEC
10/08/2026,lunes,MEC,Envolvente,08:13,08:26,Sell,Take Profit,1.0,1.0,,2026-08-10,1.0,False,MEC
11/08/2026,martes,MEC,Envolvente,07:01,09:10,Buy,Take Profit,1.0,1.0,,2026-08-11,1.0,False,MEC
13/08/2026,jueves,MEC,Envolvente,08:08,08:16,Buy,Stop Loss,-1.0,,1.0,2026-08-13,-1.0,False,MEC
13/08/2026,jueves,MEC,Envolvente,07:33,08:08,Sell,Stop Loss,-0.62,,1.0,2026-08-13,-0.62,False,MEC
14/08/2026,Viernes,MEC,START,07:34,07:59,Buy,Take Profit,1,1.0,,2026-08-14,1.0,False,MEC
17/08/2026,Lunes,MEC,Envolvente,08:44,09:32,Sell,Stop Loss,"-0,86",,1.0,2026-08-17,-0.86,False,MEC
19/08/2026,Miércoles,MEC,Envolvente,08:11,08:33,Buy,Take Profit,1,1.0,,2026-08-19,1.0,False,MEC
20/08/2026,Jueves,MEC,Envolvente,07:13,07:41,Sell,Take Profit,1,1.0,,2026-08-20,1.0,False,MEC
21/08/2026,Viernes,MEC,Envolvente,08:20,08:35,Sell,Take Profit,1,1.0,,2026-08-21,1.0,False,MEC
25/08/2026,Martes,MEC,Envolvente,07:18,08:03,Buy,Stop Loss,"-0,9",,1.0,2026-08-25,-0.9,False,MEC
25/08/2026,Martes,"Hegde Position, MEC",Envolvente,08:03,08:40,Sell,Take Profit,1,1.0,,2026-08-25,1.0,True,MEC
26/08/2026,Miércoles,MEC,Envolvente,08:00,08:30,Buy,Stop Loss,-1,,1.0,2026-08-26,-1.0,False,MEC
27/08/2026,Jueves,MEC,START,07:20,07:31,Buy,Take Profit,1,1.0,,2026-08-27,1.0,False,MEC
28/08/2026,Viernes,MEC,Envolvente,08:20,08:26,Buy,Take Profit,1,1.0,,2026-08-28,1.0,False,MEC
01/09/2026,Martes,MEC,Envolvente,08:00 ,08:35,Sell,Take Profit,1,1.0,,2026-09-01,1.0,False,MEC
02/09/2026,Miércoles,MEC,Envolvente,07:12 ,07:14,Buy,Take Profit,1,1.0,,2026-09-02,1.0,False,MEC
